name,address
activate,173.226.113.146
intents,173.226.113.185
license,173.226.113.147
meds,173.226.113.149
shopmanagement,173.226.113.165
shopstream,173.226.113.171
transfer,173.226.113.148
util,173.226.113.173
update,173.226.113.130
vintage,173.226.113.145
auth,173.226.113.134
data,173.226.113.135
myshop,173.226.113.175
www,173.226.113.131
performancecenter,173.226.113.131
.,173.226.113.131
daws,173.226.113.160
ia,173.226.113.179
aui,173.226.113.183
profilemanager,173.226.113.176
